,Rank,Name,2020 Population,2019 Population,Change
421,422,Baoji,1164665,1131222,2.96%
422,423,Samara,1163296,1166932,-0.31%
423,424,Bhubaneswar,1162886,1131484,2.78%
424,425,Puning,1160045,1127512,2.89%
425,426,Pingdingshan Henan,1159981,1126438,2.98%
426,427,Bogor,1159719,1136981,2.00%
427,428,Benxi,1157413,1139256,1.59%
428,429,Amsterdam,1148972,1140339,0.76%
429,430,Chandigarh,1148472,1128743,1.75%
430,431,Haifa,1147431,1140844,0.58%
431,432,Jieyang,1146758,1097660,4.47%
432,433,Jinzhou,1145359,1122681,2.02%
433,434,Xiangtan Hunan,1142976,1115751,2.44%
434,435,Nanyang Henan,1142799,1115205,2.47%
435,436,Huaibei,1141734,1108939,2.96%
436,437,Krasnoyarsk,1137494,1124674,1.14%
437,438,Ufa,1136291,1132656,0.32%
438,439,Rostov On Don,1136201,1135196,0.09%
439,440,Uyo,1135775,1072932,5.86%
440,441,Guilin,1134393,1114826,1.76%
441,442,Kigali,1132101,1094796,3.41%
442,443,Islamabad,1129198,1095064,3.12%
443,444,Da Nang,1125316,1094576,2.81%
444,445,Jinhua,1122440,1073355,4.57%
445,446,Lilongwe,1121720,1074695,4.38%
446,447,Mexicali,1120872,1101419,1.77%
447,448,Mwanza,1120430,1060743,5.63%
448,449,Cologne,1118789,1107731,1.00%
449,450,Guwahati,1116740,1099613,1.56%
450,451,Hubli Dharwad,1116728,1097545,1.75%
451,452,Kaduna,1113210,1096706,1.50%
452,453,Maputo,1110477,1104314,0.56%
453,454,Aguascalientes,1106453,1088041,1.69%
454,455,Salem,1102463,1081911,1.90%
455,456,Quetta,1099546,1070245,2.74%
456,457,Bandar Lampung,1091512,1068768,2.13%
457,458,Zaozhuang,1087745,1074933,1.19%
458,459,Binzhou,1083867,1042112,4.01%
459,460,Yongin,1083345,1061544,2.05%
460,461,Aba,1081466,1051017,2.90%
461,462,Xinxiang,1081031,1062361,1.76%
462,463,Bukavu,1078002,1024513,5.22%
463,464,Tbilisi,1077833,1077346,0.05%
464,465,Liupanshui,1077317,1021347,5.48%
465,466,Cuernavaca,1075022,1059092,1.50%
466,467,Perm,1071419,1066952,0.42%
467,468,Goyang,1069196,1054325,1.41%
